Speed: 0.069426, angle1: 0.142653, angle2: -0.433271, v1: -1.316460, v2: -0.916202, M1: -2.681043, M2: -0.660898
Speed: 0.074987, angle1: 0.128804, angle2: -0.439288, v1: -1.384904, v2: -0.601752, M1: -2.526551, M2: -0.557559
Speed: 0.079484, angle1: 0.113547, angle2: -0.440481, v1: -1.525650, v2: -0.119210, M1: -2.942394, M2: -0.562306
Speed: 0.087075, angle1: 0.097605, angle2: -0.441783, v1: -1.594156, v2: -0.130232, M1: -2.958001, M2: -0.700745
Speed: 0.096853, angle1: 0.081690, angle2: -0.444892, v1: -1.591516, v2: -0.310950, M1: -2.636801, M2: -0.721160
Speed: 0.103508, angle1: 0.064518, angle2: -0.441967, v1: -1.717239, v2: 0.292574, M1: -2.853477, M2: -0.546342
Speed: 0.112898, angle1: 0.046871, angle2: -0.438603, v1: -1.764671, v2: 0.336393, M1: -2.749752, M2: -0.668326
Speed: 0.124498, angle1: 0.029992, angle2: -0.438281, v1: -1.687888, v2: 0.032139, M1: -2.027161, M2: -0.666854
Speed: 0.130447, angle1: 0.011459, angle2: -0.428320, v1: -1.853352, v2: 0.996172, M1: -2.578163, M2: -0.389561
Speed: 0.139883, angle1: -0.007578, angle2: -0.417580, v1: -1.903720, v2: 1.073973, M1: -2.445092, M2: -0.581132
Speed: 0.152007, angle1: -0.025669, angle2: -0.412360, v1: -1.809072, v2: 0.521994, M1: -1.933369, M2: -0.687193
Speed: 0.159874, angle1: -0.044634, angle2: -0.400989, v1: -1.896517, v2: 1.137113, M1: -2.150596, M2: -0.407451
Speed: 0.168039, angle1: -0.064250, angle2: -0.385437, v1: -1.961596, v2: 1.555142, M1: -1.976079, M2: -0.407624
Speed: 0.177888, angle1: -0.083606, angle2: -0.371601, v1: -1.935563, v2: 1.383648, M1: -1.783164, M2: -0.525102
Speed: 0.186567, angle1: -0.102725, angle2: -0.357244, v1: -1.911902, v2: 1.435670, M1: -1.487441, M2: -0.422994
Speed: 0.193983, angle1: -0.121405, angle2: -0.341745, v1: -1.868040, v2: 1.549961, M1: -1.053586, M2: -0.327530
Speed: 0.199709, angle1: -0.140279, angle2: -0.321701, v1: -1.887354, v2: 2.004316, M1: -0.990117, M2: -0.201214
Speed: 0.205477, angle1: -0.159103, angle2: -0.299754, v1: -1.882460, v2: 2.194750, M1: -0.908100, M2: -0.233452
