Speed: 0.087870, angle1: 0.362372, angle2: -0.972102, v1: -1.743530, v2: -1.614107, M1: -3.600658, M2: -0.650619
Speed: 0.089685, angle1: 0.343532, angle2: -0.985229, v1: -1.883935, v2: -1.312670, M1: -3.623718, M2: -0.667803
Speed: 0.091930, angle1: 0.323375, angle2: -0.995098, v1: -2.015697, v2: -0.986881, M1: -3.632738, M2: -0.641248
Speed: 0.093666, angle1: 0.301883, angle2: -1.000684, v1: -2.149283, v2: -0.558600, M1: -3.627803, M2: -0.580645
Speed: 0.095466, angle1: 0.279136, angle2: -1.001815, v1: -2.274671, v2: -0.113090, M1: -3.607953, M2: -0.535530
Speed: 0.098196, angle1: 0.255328, angle2: -0.999105, v1: -2.380779, v2: 0.271004, M1: -3.573240, M2: -0.513595
Speed: 0.101790, angle1: 0.230624, angle2: -0.992833, v1: -2.470368, v2: 0.627182, M1: -3.524831, M2: -0.483995
Speed: 0.105721, angle1: 0.205110, angle2: -0.982648, v1: -2.551403, v2: 1.018527, M1: -3.463628, M2: -0.433423
Speed: 0.109989, angle1: 0.178869, angle2: -0.968262, v1: -2.624186, v2: 1.438568, M1: -3.389755, M2: -0.380900
Speed: 0.115057, angle1: 0.152035, angle2: -0.949890, v1: -2.683325, v2: 1.837213, M1: -3.303319, M2: -0.342992
Speed: 0.121143, angle1: 0.124761, angle2: -0.927887, v1: -2.727452, v2: 2.200232, M1: -3.204993, M2: -0.311987
Speed: 0.128038, angle1: 0.097151, angle2: -0.902308, v1: -2.761001, v2: 2.557911, M1: -3.095605, M2: -0.273823
Speed: 0.135565, angle1: 0.069276, angle2: -0.873020, v1: -2.787454, v2: 2.928807, M1: -2.975569, M2: -0.230319
Speed: 0.143849, angle1: 0.041221, angle2: -0.840089, v1: -2.805535, v2: 3.293100, M1: -2.844979, M2: -0.193305
Speed: 0.153045, angle1: 0.013089, angle2: -0.803817, v1: -2.813159, v2: 3.627281, M1: -2.704086, M2: -0.165404
Speed: 0.163060, angle1: -0.015029, angle2: -0.764441, v1: -2.811812, v2: 3.937564, M1: -2.553387, M2: -0.138168
Speed: 0.173680, angle1: -0.043076, angle2: -0.722011, v1: -2.804699, v2: 4.242973, M1: -2.393261, M2: -0.106913
