Speed: 0.025051, angle1: 0.079660, angle2: -0.319939, v1: -0.818979, v2: -0.704976, M1: -1.587489, M2: -0.361594
Speed: 0.026799, angle1: 0.070635, angle2: -0.324352, v1: -0.902457, v2: -0.441320, M1: -1.557909, M2: -0.281374
Speed: 0.028648, angle1: 0.060682, angle2: -0.325589, v1: -0.995349, v2: -0.123720, M1: -1.598871, M2: -0.275678
Speed: 0.031881, angle1: 0.050287, angle2: -0.326711, v1: -1.039450, v2: -0.112131, M1: -1.584626, M2: -0.357230
Speed: 0.036580, angle1: 0.040357, angle2: -0.330471, v1: -0.993011, v2: -0.376003, M1: -1.135772, M2: -0.373293
Speed: 0.038370, angle1: 0.029289, angle2: -0.327974, v1: -1.106772, v2: 0.249712, M1: -1.463228, M2: -0.187362
Speed: 0.041502, angle1: 0.017664, angle2: -0.323240, v1: -1.162545, v2: 0.473322, M1: -1.370366, M2: -0.268604
Speed: 0.046526, angle1: 0.006436, angle2: -0.321706, v1: -1.122745, v2: 0.153425, M1: -1.202333, M2: -0.388315
Speed: 0.050200, angle1: -0.005040, angle2: -0.318436, v1: -1.147607, v2: 0.326976, M1: -1.189350, M2: -0.263108
Speed: 0.053275, angle1: -0.016917, angle2: -0.311694, v1: -1.187775, v2: 0.674223, M1: -1.020312, M2: -0.185205
Speed: 0.056680, angle1: -0.029007, angle2: -0.303120, v1: -1.208908, v2: 0.857460, M1: -0.964087, M2: -0.208323
Speed: 0.060837, angle1: -0.040734, angle2: -0.295973, v1: -1.172767, v2: 0.714612, M1: -0.810653, M2: -0.266312
Speed: 0.064100, angle1: -0.052403, angle2: -0.287555, v1: -1.166884, v2: 0.841866, M1: -0.697559, M2: -0.176339
Speed: 0.066757, angle1: -0.064090, angle2: -0.276727, v1: -1.168664, v2: 1.082826, M1: -0.514574, M2: -0.109555
Speed: 0.069239, angle1: -0.075737, angle2: -0.264017, v1: -1.164772, v2: 1.270986, M1: -0.420925, M2: -0.096947
