Ep: 0 | ep_r: 3.8
Ep: 1 | ep_r: 15.8
Ep: 2 | ep_r: 22.2
Ep: 3 | ep_r: 26.6
Ep: 4 | ep_r: 26.6
Ep: 5 | ep_r: 26.8
Ep: 6 | ep_r: 27.3
Ep: 7 | ep_r: 25.4
Ep: 8 | ep_r: 27.5
Ep: 9 | ep_r: 27.4
Ep: 10 | ep_r: 26.4
Ep: 11 | ep_r: 26.9
Ep: 12 | ep_r: 27.1
Ep: 13 | ep_r: 26.5
Ep: 14 | ep_r: 25.3
Ep: 15 | ep_r: 27.2
Ep: 16 | ep_r: 27.5
Ep: 17 | ep_r: 28.0
Ep: 18 | ep_r: 26.7
Ep: 19 | ep_r: 27.1
Ep: 20 | ep_r: 26.8
Ep: 21 | ep_r: 27.0
Ep: 22 | ep_r: 27.8
Ep: 23 | ep_r: 26.8
Ep: 24 | ep_r: 25.7
Ep: 25 | ep_r: 27.8
Ep: 26 | ep_r: 26.4
Ep: 27 | ep_r: 28.3
Ep: 28 | ep_r: 26.5
Ep: 29 | ep_r: 26.9
Ep: 30 | ep_r: 27.5
Ep: 31 | ep_r: 26.3
Ep: 32 | ep_r: 26.2
Ep: 33 | ep_r: 25.9
Ep: 34 | ep_r: 25.5
Ep: 35 | ep_r: 25.6
Ep: 36 | ep_r: 26.2
Ep: 37 | ep_r: 26.5
Ep: 38 | ep_r: 26.3
Ep: 39 | ep_r: 26.1
Ep: 40 | ep_r: 26.4
Ep: 41 | ep_r: 25.6
Ep: 42 | ep_r: 25.5
Ep: 43 | ep_r: 26.3
Ep: 44 | ep_r: 26.4
Ep: 45 | ep_r: 25.6
Ep: 46 | ep_r: 25.5
Ep: 47 | ep_r: 26.3
Ep: 48 | ep_r: 25.5
Ep: 49 | ep_r: 26.2
Ep: 50 | ep_r: 25.6
Ep: 51 | ep_r: 26.3
Ep: 52 | ep_r: 26.3
Ep: 53 | ep_r: 26.3
Ep: 54 | ep_r: 26.3
Ep: 55 | ep_r: 25.9
Ep: 56 | ep_r: 26.3
Ep: 57 | ep_r: 26.4
Ep: 58 | ep_r: 26.4
Ep: 59 | ep_r: 26.2
Ep: 60 | ep_r: 26.3
Ep: 61 | ep_r: 26.3
Ep: 62 | ep_r: 26.2
Ep: 63 | ep_r: 26.3
Ep: 64 | ep_r: 26.3
Ep: 65 | ep_r: 26.3
Ep: 66 | ep_r: 26.3
Ep: 67 | ep_r: 26.3
Ep: 68 | ep_r: 26.3
Ep: 69 | ep_r: 26.3
Ep: 70 | ep_r: 26.3
Ep: 71 | ep_r: 26.3
Ep: 72 | ep_r: 26.3
Ep: 73 | ep_r: 26.3
Ep: 74 | ep_r: 26.3
Ep: 75 | ep_r: 26.3
Ep: 76 | ep_r: 26.3
Ep: 77 | ep_r: 26.3
Ep: 78 | ep_r: 26.3
Ep: 79 | ep_r: 26.3
Ep: 80 | ep_r: 26.3
Ep: 81 | ep_r: 26.3
Ep: 82 | ep_r: 26.3
Ep: 83 | ep_r: 26.3
Ep: 84 | ep_r: 26.3
Ep: 85 | ep_r: 26.3
Ep: 86 | ep_r: 26.3
Ep: 87 | ep_r: 26.3
Ep: 88 | ep_r: 26.3
Ep: 89 | ep_r: 26.3
Ep: 90 | ep_r: 26.3
Ep: 91 | ep_r: 26.3
Ep: 92 | ep_r: 26.3
Ep: 93 | ep_r: 26.3
Ep: 94 | ep_r: 26.3
Ep: 95 | ep_r: 26.3
Ep: 96 | ep_r: 26.3
Ep: 97 | ep_r: 26.3
Ep: 98 | ep_r: 26.3
Ep: 99 | ep_r: 26.3
