Ep: 0 | ep_r: 19.0
Ep: 1 | ep_r: 47.8
Ep: 2 | ep_r: 52.0
Ep: 3 | ep_r: 52.3
Ep: 4 | ep_r: 53.3
Ep: 5 | ep_r: 51.3
Ep: 6 | ep_r: 51.8
Ep: 7 | ep_r: 51.7
Ep: 8 | ep_r: 50.7
Ep: 9 | ep_r: 51.1
Ep: 10 | ep_r: 52.6
Ep: 11 | ep_r: 52.2
Ep: 12 | ep_r: 50.5
Ep: 13 | ep_r: 51.9
Ep: 14 | ep_r: 53.3
Ep: 15 | ep_r: 49.9
Ep: 16 | ep_r: 50.9
Ep: 17 | ep_r: 51.1
Ep: 18 | ep_r: 50.6
Ep: 19 | ep_r: 50.3
Ep: 20 | ep_r: 50.8
Ep: 21 | ep_r: 51.8
Ep: 22 | ep_r: 51.3
Ep: 23 | ep_r: 50.7
Ep: 24 | ep_r: 51.7
Ep: 25 | ep_r: 50.6
Ep: 26 | ep_r: 50.5
Ep: 27 | ep_r: 50.7
Ep: 28 | ep_r: 51.7
Ep: 29 | ep_r: 50.1
Ep: 30 | ep_r: 50.6
Ep: 31 | ep_r: 50.6
Ep: 32 | ep_r: 50.6
Ep: 33 | ep_r: 50.6
Ep: 34 | ep_r: 50.6
Ep: 35 | ep_r: 50.5
Ep: 36 | ep_r: 50.4
Ep: 37 | ep_r: 50.5
Ep: 38 | ep_r: 50.5
Ep: 39 | ep_r: 50.5
Ep: 40 | ep_r: 50.5
Ep: 41 | ep_r: 50.5
Ep: 42 | ep_r: 50.5
Ep: 43 | ep_r: 50.5
Ep: 44 | ep_r: 50.5
Ep: 45 | ep_r: 50.5
Ep: 46 | ep_r: 50.5
Ep: 47 | ep_r: 50.5
Ep: 48 | ep_r: 50.5
Ep: 49 | ep_r: 50.5
Ep: 50 | ep_r: 50.5
Ep: 51 | ep_r: 50.5
Ep: 52 | ep_r: 50.5
Ep: 53 | ep_r: 50.5
Ep: 54 | ep_r: 50.5
Ep: 55 | ep_r: 50.5
Ep: 56 | ep_r: 50.5
Ep: 57 | ep_r: 50.5
Ep: 58 | ep_r: 50.5
Ep: 59 | ep_r: 50.5
Ep: 60 | ep_r: 50.5
Ep: 61 | ep_r: 50.5
Ep: 62 | ep_r: 50.5
Ep: 63 | ep_r: 50.5
Ep: 64 | ep_r: 50.5
Ep: 65 | ep_r: 50.5
Ep: 66 | ep_r: 50.5
Ep: 67 | ep_r: 50.5
Ep: 68 | ep_r: 50.5
Ep: 69 | ep_r: 50.5
Ep: 70 | ep_r: 50.5
Ep: 71 | ep_r: 50.5
Ep: 72 | ep_r: 50.5
Ep: 73 | ep_r: 50.5
Ep: 74 | ep_r: 50.5
Ep: 75 | ep_r: 50.5
Ep: 76 | ep_r: 50.5
Ep: 77 | ep_r: 50.5
Ep: 78 | ep_r: 50.5
Ep: 79 | ep_r: 50.5
Ep: 80 | ep_r: 50.5
Ep: 81 | ep_r: 50.5
Ep: 82 | ep_r: 50.5
Ep: 83 | ep_r: 50.5
Ep: 84 | ep_r: 50.5
Ep: 85 | ep_r: 50.5
Ep: 86 | ep_r: 50.5
Ep: 87 | ep_r: 50.5
Ep: 88 | ep_r: 50.5
Ep: 89 | ep_r: 50.5
Ep: 90 | ep_r: 50.5
Ep: 91 | ep_r: 50.5
Ep: 92 | ep_r: 50.5
Ep: 93 | ep_r: 50.5
Ep: 94 | ep_r: 50.5
Ep: 95 | ep_r: 50.5
Ep: 96 | ep_r: 50.5
Ep: 97 | ep_r: 50.5
Ep: 98 | ep_r: 50.5
Ep: 99 | ep_r: 50.5
