Speed: 0.026055, angle1: 0.079838, angle2: -0.320108, v1: -0.799216, v2: -0.667491, M1: -1.526144, M2: -0.338706
Speed: 0.028100, angle1: 0.071278, angle2: -0.324808, v1: -0.856001, v2: -0.469998, M1: -1.391917, M2: -0.275554
Speed: 0.029667, angle1: 0.061732, angle2: -0.325803, v1: -0.954580, v2: -0.099501, M1: -1.571050, M2: -0.256845
Speed: 0.032670, angle1: 0.051679, angle2: -0.326479, v1: -1.005390, v2: -0.067539, M1: -1.606693, M2: -0.353022
Speed: 0.037438, angle1: 0.042147, angle2: -0.330385, v1: -0.953180, v2: -0.390620, M1: -1.159093, M2: -0.391336
Speed: 0.039057, angle1: 0.031419, angle2: -0.327771, v1: -1.072801, v2: 0.261403, M1: -1.500812, M2: -0.187577
Speed: 0.042206, angle1: 0.020149, angle2: -0.323200, v1: -1.126944, v2: 0.457019, M1: -1.414846, M2: -0.284428
Speed: 0.047214, angle1: 0.009287, angle2: -0.321887, v1: -1.086231, v2: 0.131365, M1: -1.233644, M2: -0.397769
Speed: 0.050556, angle1: -0.001993, angle2: -0.317842, v1: -1.127978, v2: 0.404481, M1: -1.249213, M2: -0.249174
Speed: 0.053781, angle1: -0.013689, angle2: -0.310854, v1: -1.169624, v2: 0.698812, M1: -1.141919, M2: -0.219530
Speed: 0.057590, angle1: -0.025423, angle2: -0.303240, v1: -1.173407, v2: 0.761363, M1: -1.025101, M2: -0.255460
Speed: 0.061793, angle1: -0.036555, angle2: -0.297308, v1: -1.113157, v2: 0.593184, M1: -0.674401, M2: -0.261517
Speed: 0.064209, angle1: -0.048151, angle2: -0.286893, v1: -1.159671, v2: 1.041539, M1: -0.791457, M2: -0.108988
Speed: 0.067058, angle1: -0.059858, angle2: -0.274589, v1: -1.170680, v2: 1.230417, M1: -0.683690, M2: -0.147020
Speed: 0.070495, angle1: -0.070987, angle2: -0.264214, v1: -1.112852, v2: 1.037504, M1: -0.483719, M2: -0.211037
Speed: 0.072903, angle1: -0.082002, angle2: -0.252350, v1: -1.101525, v2: 1.186421, M1: -0.416992, M2: -0.107711
Speed: 0.074745, angle1: -0.092959, angle2: -0.238062, v1: -1.095670, v2: 1.428743, M1: -0.235273, M2: -0.045962
Speed: 0.076490, angle1: -0.103692, angle2: -0.222521, v1: -1.073335, v2: 1.554133, M1: -0.132050, M2: -0.049294
Speed: 0.078160, angle1: -0.113866, angle2: -0.207621, v1: -1.017349, v2: 1.489984, M1: 0.006342, M2: -0.069595
Speed: 0.079215, angle1: -0.117900, angle2: -0.192042, v1: -0.974822, v2: 1.557932, M1: 0.131093, M2: -0.009612
Speed: 0.079825, angle1: -0.117900, angle2: -0.173763, v1: -0.968478, v2: 1.827909, M1: 0.147829, M2: 0.054396
Speed: 0.080584, angle1: -0.117900, angle2: -0.154218, v1: -0.951317, v2: 1.954470, M1: 0.119873, M2: 0.021652
Speed: 0.081555, angle1: -0.117900, angle2: -0.135761, v1: -0.908354, v2: 1.845698, M1: 0.064035, M2: -0.042922
