Speed: 0.067886, angle1: -0.053661, angle2: -0.276745, v1: -1.078510, v2: 0.835156, M1: -0.794468, M2: -0.224142
Speed: 0.070218, angle1: -0.064332, angle2: -0.265951, v1: -1.067111, v2: 1.079388, M1: -0.397007, M2: -0.093603
Speed: 0.071802, angle1: -0.075600, angle2: -0.249855, v1: -1.126775, v2: 1.609516, M1: -0.556228, M2: -0.025673
Speed: 0.074633, angle1: -0.086386, angle2: -0.235547, v1: -1.078558, v2: 1.430899, M1: -0.402426, M2: -0.176895
Speed: 0.077159, angle1: -0.096512, angle2: -0.223405, v1: -1.012658, v2: 1.214137, M1: -0.270859, M2: -0.166177
Speed: 0.078529, angle1: -0.106564, angle2: -0.208817, v1: -1.005180, v2: 1.458797, M1: -0.137618, M2: -0.021996
Speed: 0.079367, angle1: -0.116757, angle2: -0.190208, v1: -1.019281, v2: 1.860888, M1: -0.002361, M2: 0.051514
Speed: 0.080516, angle1: -0.117900, angle2: -0.172371, v1: -0.958606, v2: 1.783681, M1: 0.149864, M2: -0.038657
Speed: 0.081523, angle1: -0.117900, angle2: -0.155636, v1: -0.901412, v2: 1.673536, M1: 0.110068, M2: -0.047293
Speed: 0.082153, angle1: -0.117900, angle2: -0.137039, v1: -0.895800, v2: 1.859716, M1: 0.072293, M2: 0.028403
Speed: 0.082778, angle1: -0.117900, angle2: -0.115907, v1: -0.908814, v2: 2.113238, M1: 0.040801, M2: 0.047069
Speed: 0.083653, angle1: -0.117900, angle2: -0.095697, v1: -0.876093, v2: 2.020947, M1: 0.019085, M2: -0.040876
Speed: 0.084433, angle1: -0.117900, angle2: -0.076848, v1: -0.838761, v2: 1.884911, M1: 0.004462, M2: -0.053190
Speed: 0.085070, angle1: -0.117900, angle2: -0.056633, v1: -0.843619, v2: 2.021474, M1: 0.000000, M2: 0.017192
Speed: 0.085754, angle1: -0.117900, angle2: -0.034415, v1: -0.860304, v2: 2.221866, M1: 0.004046, M2: 0.036914
Speed: 0.086408, angle1: -0.117900, angle2: -0.013215, v1: -0.832010, v2: 2.120006, M1: 0.018646, M2: -0.035913
Speed: 0.086893, angle1: -0.117900, angle2: 0.006462, v1: -0.794031, v2: 1.967608, M1: 0.041239, M2: -0.044964
Speed: 0.087372, angle1: -0.117900, angle2: 0.026904, v1: -0.787951, v2: 2.044280, M1: 0.075508, M2: 0.019461
Speed: 0.087953, angle1: -0.117900, angle2: 0.049070, v1: -0.797317, v2: 2.216580, M1: 0.086387, M2: 0.047760
Speed: 0.088191, angle1: -0.117900, angle2: 0.069897, v1: -0.755632, v2: 2.082663, M1: 0.153303, M2: -0.018333
Speed: 0.088118, angle1: -0.117900, angle2: 0.088680, v1: -0.696728, v2: 1.878287, M1: 0.227635, M2: -0.024395
Speed: 0.088188, angle1: -0.117900, angle2: 0.107954, v1: -0.669871, v2: 1.927409, M1: 0.306252, M2: 0.053510
Speed: 0.088570, angle1: -0.117900, angle2: 0.129349, v1: -0.670982, v2: 2.139553, M1: 0.294895, M2: 0.096009
Speed: 0.087990, angle1: -0.117900, angle2: 0.148255, v1: -0.587476, v2: 1.890546, M1: 0.466410, M2: 0.005541
Speed: 0.087084, angle1: -0.117900, angle2: 0.164477, v1: -0.493229, v2: 1.622218, M1: 0.557055, M2: 0.014917
Speed: 0.086699, angle1: -0.117900, angle2: 0.181562, v1: -0.443291, v2: 1.708486, M1: 0.671047, M2: 0.124731
Speed: 0.086739, angle1: -0.117900, angle2: 0.201191, v1: -0.418111, v2: 1.962952, M1: 0.688687, M2: 0.172054
Speed: 0.085096, angle1: -0.117900, angle2: 0.217281, v1: -0.281756, v2: 1.608967, M1: 0.891077, M2: 0.045438
Speed: 0.083011, angle1: -0.117900, angle2: 0.229360, v1: -0.127351, v2: 1.207875, M1: 1.020602, M2: 0.053508
Speed: 0.082368, angle1: -0.117900, angle2: 0.243081, v1: -0.052262, v2: 1.372159, M1: 1.114030, M2: 0.217159
Speed: 0.082194, angle1: -0.117792, angle2: 0.259720, v1: 0.010804, v2: 1.663822, M1: 1.258052, M2: 0.279427
Speed: 0.079948, angle1: -0.115908, angle2: 0.271838, v1: 0.188436, v2: 1.211877, M1: 1.392477, M2: 0.116885
Speed: 0.077517, angle1: -0.112110, angle2: 0.278894, v1: 0.379714, v2: 0.705545, M1: 1.522620, M2: 0.128742
Speed: 0.077735, angle1: -0.107518, angle2: 0.288182, v1: 0.459294, v2: 0.928783, M1: 1.589225, M2: 0.339066
Speed: 0.079319, angle1: -0.102571, angle2: 0.301736, v1: 0.494628, v2: 1.355415, M1: 1.642137, M2: 0.422196
Speed: 0.078364, angle1: -0.095967, angle2: 0.309666, v1: 0.660425, v2: 0.792994, M1: 1.690059, M2: 0.194331
Speed: 0.077354, angle1: -0.087592, angle2: 0.311035, v1: 0.837495, v2: 0.136914, M1: 1.704994, M2: 0.175236
Speed: 0.080166, angle1: -0.078969, angle2: 0.315719, v1: 0.862274, v2: 0.468440, M1: 1.683970, M2: 0.436526
Speed: 0.084558, angle1: -0.070657, angle2: 0.325885, v1: 0.831274, v2: 1.016606, M1: 1.658355, M2: 0.515394
Speed: 0.087349, angle1: -0.062483, angle2: 0.333389, v1: 0.817362, v2: 0.750386, M1: 0.768926, M2: 0.192022
Speed: 0.084906, angle1: -0.051626, angle2: 0.325767, v1: 1.085726, v2: -0.762253, M1: 1.597929, M2: -0.041101
Speed: 0.088557, angle1: -0.040609, angle2: 0.320850, v1: 1.101665, v2: -0.491612, M1: 1.498960, M2: 0.394367
Speed: 0.096437, angle1: -0.031377, angle2: 0.329816, v1: 0.923217, v2: 0.896538, M1: 1.377401, M2: 0.694623
Speed: 0.098396, angle1: -0.021175, angle2: 0.331794, v1: 1.020156, v2: 0.197802, M1: 1.385616, M2: 0.181336
Speed: 0.097586, angle1: -0.008758, angle2: 0.319469, v1: 1.241687, v2: -1.232445, M1: 1.345544, M2: -0.045507
Speed: 0.102069, angle1: 0.003498, angle2: 0.310108, v1: 1.225625, v2: -0.936128, M1: 1.238114, M2: 0.367763
Speed: 0.109702, angle1: 0.013803, angle2: 0.313916, v1: 1.030519, v2: 0.380808, M1: 1.072292, M2: 0.629680
Speed: 0.111656, angle1: 0.024942, angle2: 0.310033, v1: 1.113947, v2: -0.388335, M1: 1.036790, M2: 0.099867
Speed: 0.111698, angle1: 0.037826, angle2: 0.293379, v1: 1.288303, v2: -1.665395, M1: 0.931505, M2: -0.082215
Speed: 0.115948, angle1: 0.050157, angle2: 0.280382, v1: 1.233197, v2: -1.299732, M1: 0.783862, M2: 0.302733
Speed: 0.121682, angle1: 0.060645, angle2: 0.278336, v1: 1.048786, v2: -0.204549, M1: 0.641563, M2: 0.483373
Speed: 0.123091, angle1: 0.071628, angle2: 0.269609, v1: 1.098282, v2: -0.872742, M1: 0.515566, M2: 0.014323
Speed: 0.123088, angle1: 0.083911, angle2: 0.249625, v1: 1.228299, v2: -1.998354, M1: 0.398268, M2: -0.151700
Speed: 0.125794, angle1: 0.095469, angle2: 0.232610, v1: 1.155770, v2: -1.701528, M1: 0.236889, M2: 0.174420
Speed: 0.129106, angle1: 0.105115, angle2: 0.225457, v1: 0.964651, v2: -0.715327, M1: 0.085271, M2: 0.333733
Speed: 0.129363, angle1: 0.114967, angle2: 0.212677, v1: 0.985130, v2: -1.277962, M1: -0.037775, M2: -0.084463
Speed: 0.128751, angle1: 0.117900, angle2: 0.190279, v1: 1.071187, v2: -2.239785, M1: -0.173532, M2: -0.230186
Speed: 0.129654, angle1: 0.117900, angle2: 0.168987, v1: 1.014905, v2: -2.129197, M1: -0.168969, M2: 0.032660
Speed: 0.131096, angle1: 0.117900, angle2: 0.155966, v1: 0.858753, v2: -1.302077, M1: -0.099451, M2: 0.227224
Speed: 0.131200, angle1: 0.117900, angle2: 0.140358, v1: 0.862934, v2: -1.560847, M1: -0.076814, M2: -0.047587
Speed: 0.130994, angle1: 0.117900, angle2: 0.116364, v1: 0.964456, v2: -2.399395, M1: -0.043682, M2: -0.200112
Speed: 0.131662, angle1: 0.117900, angle2: 0.092510, v1: 0.948228, v2: -2.385393, M1: -0.019122, M2: 0.015881
Speed: 0.132425, angle1: 0.117900, angle2: 0.076410, v1: 0.817961, v2: -1.609970, M1: -0.002693, M2: 0.214374
