Speed: 0.009920, angle1: 0.076142, angle2: -0.321388, v1: -0.716888, v2: -0.528173, M1: -1.266685, M2: -0.199084
Speed: 0.010518, angle1: 0.071492, angle2: -0.324167, v1: -0.774974, v2: -0.277877, M1: -1.269026, M2: -0.207273
Speed: 0.012279, angle1: 0.066755, angle2: -0.327227, v1: -0.789529, v2: -0.306014, M1: -1.265559, M2: -0.276374
Speed: 0.014111, angle1: 0.061918, angle2: -0.330069, v1: -0.806074, v2: -0.284256, M1: -1.260343, M2: -0.266349
Speed: 0.015221, angle1: 0.056786, angle2: -0.330265, v1: -0.855386, v2: -0.019529, M1: -1.252891, M2: -0.201581
Speed: 0.016526, angle1: 0.051395, angle2: -0.328229, v1: -0.898468, v2: 0.203552, M1: -1.239635, M2: -0.203250
Speed: 0.018672, angle1: 0.045942, angle2: -0.326068, v1: -0.908832, v2: 0.216123, M1: -1.220914, M2: -0.250486
Speed: 0.020841, angle1: 0.040419, angle2: -0.323420, v1: -0.920463, v2: 0.264814, M1: -1.199718, M2: -0.238251
Speed: 0.022486, angle1: 0.034682, angle2: -0.318484, v1: -0.956263, v2: 0.493600, M1: -1.175647, M2: -0.185079
Speed: 0.024275, angle1: 0.028762, angle2: -0.311595, v1: -0.986539, v2: 0.688852, M1: -1.146015, M2: -0.181751
Speed: 0.026632, angle1: 0.022813, angle2: -0.304356, v1: -0.991552, v2: 0.723916, M1: -1.111113, M2: -0.212486
Speed: 0.028972, angle1: 0.016831, angle2: -0.296510, v1: -0.996971, v2: 0.784620, M1: -1.073217, M2: -0.198428
Speed: 0.030944, angle1: 0.010713, angle2: -0.286721, v1: -1.019779, v2: 0.978850, M1: -1.032044, M2: -0.153881
Speed: 0.033008, angle1: 0.004490, angle2: -0.275294, v1: -1.037159, v2: 1.142742, M1: -0.985624, M2: -0.147332
Speed: 0.035410, angle1: -0.001718, angle2: -0.263444, v1: -1.034538, v2: 1.184959, M1: -0.934281, M2: -0.165570
Speed: 0.037748, angle1: -0.007908, angle2: -0.250998, v1: -1.031701, v2: 1.244597, M1: -0.879808, M2: -0.149940
Speed: 0.039817, angle1: -0.014156, angle2: -0.236968, v1: -1.041380, v2: 1.403031, M1: -0.822034, M2: -0.111553
Speed: 0.041916, angle1: -0.020430, angle2: -0.221610, v1: -1.045602, v2: 1.535774, M1: -0.759528, M2: -0.102414
Speed: 0.044164, angle1: -0.026628, angle2: -0.205911, v1: -1.033120, v2: 1.569912, M1: -0.692671, M2: -0.112482
Speed: 0.046298, angle1: -0.032748, angle2: -0.189727, v1: -1.019956, v2: 1.618459, M1: -0.622984, M2: -0.095445
Speed: 0.048217, angle1: -0.038842, angle2: -0.172317, v1: -1.015671, v2: 1.740997, M1: -0.550404, M2: -0.061673
Speed: 0.050093, angle1: -0.044875, angle2: -0.153934, v1: -1.005528, v2: 1.838204, M1: -0.473926, M2: -0.051489
Speed: 0.051953, angle1: -0.050762, angle2: -0.135382, v1: -0.981085, v2: 1.855270, M1: -0.394037, M2: -0.055702
Speed: 0.053644, angle1: -0.056496, angle2: -0.116543, v1: -0.955727, v2: 1.883835, M1: -0.312086, M2: -0.037853
Speed: 0.055139, angle1: -0.062116, angle2: -0.096833, v1: -0.936625, v2: 1.971004, M1: -0.228100, M2: -0.007422
Speed: 0.056513, angle1: -0.067582, angle2: -0.076529, v1: -0.910939, v2: 2.030432, M1: -0.141407, M2: 0.002450
Speed: 0.057733, angle1: -0.072816, angle2: -0.056296, v1: -0.872419, v2: 2.023336, M1: -0.052640, M2: 0.001707
Speed: 0.058738, angle1: -0.077812, angle2: -0.036015, v1: -0.832619, v2: 2.028043, M1: 0.036928, M2: 0.019606
Speed: 0.059549, angle1: -0.082591, angle2: -0.015244, v1: -0.796554, v2: 2.077095, M1: 0.127161, M2: 0.046184
Speed: 0.060160, angle1: -0.087111, angle2: 0.005754, v1: -0.753232, v2: 2.099823, M1: 0.218403, M2: 0.055159
Speed: 0.060510, angle1: -0.091296, angle2: 0.026414, v1: -0.697613, v2: 2.066050, M1: 0.309883, M2: 0.055562
Speed: 0.060614, angle1: -0.095134, angle2: 0.046834, v1: -0.639588, v2: 2.041944, M1: 0.400308, M2: 0.071496
Speed: 0.060521, angle1: -0.098632, angle2: 0.067384, v1: -0.583037, v2: 2.055016, M1: 0.489356, M2: 0.093988
Speed: 0.060169, angle1: -0.101739, angle2: 0.087823, v1: -0.517876, v2: 2.043869, M1: 0.577075, M2: 0.100332
Speed: 0.059481, angle1: -0.104376, angle2: 0.107649, v1: -0.439510, v2: 1.982627, M1: 0.662488, M2: 0.098557
Speed: 0.058535, angle1: -0.106514, angle2: 0.126915, v1: -0.356364, v2: 1.926627, M1: 0.744142, M2: 0.109684
Speed: 0.057425, angle1: -0.108153, angle2: 0.145890, v1: -0.273035, v2: 1.897496, M1: 0.821410, M2: 0.127136
Speed: 0.056110, angle1: -0.109255, angle2: 0.164362, v1: -0.183715, v2: 1.847215, M1: 0.894110, M2: 0.133608
Speed: 0.054589, angle1: -0.109777, angle2: 0.181915, v1: -0.086941, v2: 1.755253, M1: 0.961462, M2: 0.135906
Speed: 0.053046, angle1: -0.109726, angle2: 0.198605, v1: 0.008519, v2: 1.669004, M1: 1.022529, M2: 0.151214
Speed: 0.051637, angle1: -0.109138, angle2: 0.214700, v1: 0.097949, v2: 1.609542, M1: 1.077236, M2: 0.173154
Speed: 0.050329, angle1: -0.108020, angle2: 0.230040, v1: 0.186259, v2: 1.533932, M1: 1.125965, M2: 0.184951
Speed: 0.049115, angle1: -0.106373, angle2: 0.244291, v1: 0.274575, v2: 1.425183, M1: 1.168598, M2: 0.191457
Speed: 0.048145, angle1: -0.104236, angle2: 0.257504, v1: 0.356176, v2: 1.321286, M1: 1.204892, M2: 0.206189
Speed: 0.047516, angle1: -0.101669, angle2: 0.269890, v1: 0.427763, v2: 1.238585, M1: 1.235269, M2: 0.223851
Speed: 0.047134, angle1: -0.098703, angle2: 0.281311, v1: 0.494316, v2: 1.142042, M1: 1.260467, M2: 0.231166
Speed: 0.046940, angle1: -0.095353, angle2: 0.291478, v1: 0.558394, v2: 1.016696, M1: 1.280724, M2: 0.232584
Speed: 0.047031, angle1: -0.091659, angle2: 0.300446, v1: 0.615724, v2: 0.896863, M1: 1.296010, M2: 0.240248
Speed: 0.047445, angle1: -0.087669, angle2: 0.308382, v1: 0.664888, v2: 0.793631, M1: 1.306720, M2: 0.249362
Speed: 0.048070, angle1: -0.083406, angle2: 0.315178, v1: 0.710548, v2: 0.679540, M1: 1.313386, M2: 0.249823
Speed: 0.048837, angle1: -0.078876, angle2: 0.320610, v1: 0.755071, v2: 0.543226, M1: 1.316069, M2: 0.245491
Speed: 0.049816, angle1: -0.074104, angle2: 0.324737, v1: 0.795212, v2: 0.412652, M1: 1.314592, M2: 0.246155
Speed: 0.051026, angle1: -0.069125, angle2: 0.327700, v1: 0.829934, v2: 0.296303, M1: 1.309101, M2: 0.247868
Speed: 0.052372, angle1: -0.063948, angle2: 0.329407, v1: 0.862820, v2: 0.170722, M1: 1.299845, M2: 0.242699
Speed: 0.053809, angle1: -0.058577, angle2: 0.329723, v1: 0.895098, v2: 0.031653, M1: 1.286718, M2: 0.234698
Speed: 0.055390, angle1: -0.053032, angle2: 0.328706, v1: 0.924124, v2: -0.101722, M1: 1.269491, M2: 0.230304
Speed: 0.057124, angle1: -0.047338, angle2: 0.326475, v1: 0.949134, v2: -0.223145, M1: 1.248204, M2: 0.226626
Speed: 0.058940, angle1: -0.041503, angle2: 0.322978, v1: 0.972511, v2: -0.349648, M1: 1.222979, M2: 0.217902
Speed: 0.060810, angle1: -0.035533, angle2: 0.318136, v1: 0.994998, v2: -0.484219, M1: 1.193703, M2: 0.207148
Speed: 0.062768, angle1: -0.029446, angle2: 0.312015, v1: 1.014483, v2: -0.612146, M1: 1.160197, M2: 0.199129
Speed: 0.064815, angle1: -0.023264, angle2: 0.304717, v1: 1.030323, v2: -0.729806, M1: 1.122501, M2: 0.191510
Speed: 0.066902, angle1: -0.016999, angle2: 0.296234, v1: 1.044104, v2: -0.848255, M1: 1.080727, M2: 0.180397
Speed: 0.069004, angle1: -0.010661, angle2: 0.286528, v1: 1.056345, v2: -0.970581, M1: 1.034841, M2: 0.167668
Speed: 0.071141, angle1: -0.004269, angle2: 0.275673, v1: 1.065418, v2: -1.085554, M1: 0.984765, M2: 0.156985
Speed: 0.073304, angle1: 0.002156, angle2: 0.263770, v1: 1.070817, v2: -1.190238, M1: 0.930596, M2: 0.146629
Speed: 0.075456, angle1: 0.008599, angle2: 0.250839, v1: 1.073709, v2: -1.293171, M1: 0.872495, M2: 0.133639
Speed: 0.077575, angle1: 0.015045, angle2: 0.236876, v1: 1.074453, v2: -1.396305, M1: 0.810520, M2: 0.119538
Speed: 0.079666, angle1: 0.021476, angle2: 0.221962, v1: 1.071731, v2: -1.491310, M1: 0.744707, M2: 0.107036
Speed: 0.081715, angle1: 0.027867, angle2: 0.206206, v1: 1.065175, v2: -1.575604, M1: 0.675236, M2: 0.094872
Speed: 0.083691, angle1: 0.034201, angle2: 0.189644, v1: 1.055667, v2: -1.656276, M1: 0.602344, M2: 0.080681
Speed: 0.085574, angle1: 0.040462, angle2: 0.172300, v1: 1.043475, v2: -1.734343, M1: 0.526193, M2: 0.065818
Speed: 0.087360, angle1: 0.046626, angle2: 0.154265, v1: 1.027470, v2: -1.803503, M1: 0.446935, M2: 0.052306
Speed: 0.089029, angle1: 0.052671, angle2: 0.135648, v1: 1.007409, v2: -1.861694, M1: 0.364852, M2: 0.039169
Speed: 0.090557, angle1: 0.058575, angle2: 0.116504, v1: 0.983970, v2: -1.914404, M1: 0.280268, M2: 0.024532
Speed: 0.091926, angle1: 0.064319, angle2: 0.096865, v1: 0.957379, v2: -1.963957, M1: 0.193457, M2: 0.009385
Speed: 0.093127, angle1: 0.069877, angle2: 0.076839, v1: 0.926411, v2: -2.002600, M1: 0.104690, M2: -0.004010
